,Symbol
0,MMM
1,AOS
2,ABT
3,ABBV
4,ABMD
5,ACN
6,ATVI
7,ADM
8,ADBE
9,ADP
10,AAP
11,AES
12,AFL
13,A
14,APD
15,AKAM
16,ALK
17,ALB
18,ARE
19,ALGN
20,ALLE
21,LNT
22,ALL
23,GOOGL
24,GOOG
25,MO
26,AMZN
27,AMCR
28,AMD
29,AEE
30,AAL
31,AEP
32,AXP
33,AIG
34,AMT
35,AWK
36,AMP
37,ABC
38,AME
39,AMGN
40,APH
41,ADI
42,ANSS
43,AON
44,APA
45,AAPL
46,AMAT
47,APTV
48,ANET
49,AJG
50,AIZ
51,T
52,ATO
53,ADSK
54,AZO
55,AVB
56,AVY
57,BKR
58,BALL
59,BAC
60,BBWI
61,BAX
62,BDX
63,WRB
64,BRK.B
65,BBY
66,BIO
67,TECH
68,BIIB
69,BLK
70,BK
71,BA
72,BKNG
73,BWA
74,BXP
75,BSX
76,BMY
77,AVGO
78,BR
79,BRO
80,BF.B
81,CHRW
82,CDNS
83,CZR
84,CPT
85,CPB
86,COF
87,CAH
88,KMX
89,CCL
90,CARR
91,CTLT
92,CAT
93,CBOE
94,CBRE
95,CDW
96,CE
97,CNC
98,CNP
99,CDAY
100,CF
101,CRL
102,SCHW
103,CHTR
104,CVX
105,CMG
106,CB
107,CHD
108,CI
109,CINF
110,CTAS
111,CSCO
112,C
113,CFG
114,CTXS
115,CLX
116,CME
117,CMS
118,KO
119,CTSH
120,CL
121,CMCSA
122,CMA
123,CAG
124,COP
125,ED
126,STZ
127,CEG
128,COO
129,CPRT
130,GLW
131,CTVA
132,CSGP
133,COST
134,CTRA
135,CCI
136,CSX
137,CMI
138,CVS
139,DHI
140,DHR
141,DRI
142,DVA
143,DE
144,DAL
145,XRAY
146,DVN
147,DXCM
148,FANG
149,DLR
150,DFS
151,DISH
152,DIS
153,DG
154,DLTR
155,D
156,DPZ
157,DOV
158,DOW
159,DTE
160,DUK
161,DRE
162,DD
163,DXC
164,EMN
165,ETN
166,EBAY
167,ECL
168,EIX
169,EW
170,EA
171,ELV
172,LLY
173,EMR
174,ENPH
175,ETR
176,EOG
177,EPAM
178,EFX
179,EQIX
180,EQR
181,ESS
182,EL
183,ETSY
184,RE
185,EVRG
186,ES
187,EXC
188,EXPE
189,EXPD
190,EXR
191,XOM
192,FFIV
193,FDS
194,FAST
195,FRT
196,FDX
197,FITB
198,FRC
199,FE
200,FIS
201,FISV
202,FLT
203,FMC
204,F
205,FTNT
206,FTV
207,FBHS
208,FOXA
209,FOX
210,BEN
211,FCX
212,GRMN
213,IT
214,GNRC
215,GD
216,GE
217,GIS
218,GM
219,GPC
220,GILD
221,GL
222,GPN
223,GS
224,HAL
225,HIG
226,HAS
227,HCA
228,PEAK
229,HSIC
230,HSY
231,HES
232,HPE
233,HLT
234,HOLX
235,HD
236,HON
237,HRL
238,HST
239,HWM
240,HPQ
241,HUM
242,HBAN
243,HII
244,IBM
245,IEX
246,IDXX
247,ITW
248,ILMN
249,INCY
250,IR
251,INTC
252,ICE
253,IP
254,IPG
255,IFF
256,INTU
257,ISRG
258,IVZ
259,INVH
260,IQV
261,IRM
262,JBHT
263,JKHY
264,J
265,JNJ
266,JCI
267,JPM
268,JNPR
269,K
270,KDP
271,KEY
272,KEYS
273,KMB
274,KIM
275,KMI
276,KLAC
277,KHC
278,KR
279,LHX
280,LH
281,LRCX
282,LW
283,LVS
284,LDOS
285,LEN
286,LNC
287,LIN
288,LYV
289,LKQ
290,LMT
291,L
292,LOW
293,LUMN
294,LYB
295,MTB
296,MRO
297,MPC
298,MKTX
299,MAR
300,MMC
301,MLM
302,MAS
303,MA
304,MTCH
305,MKC
306,MCD
307,MCK
308,MDT
309,MRK
310,META
311,MET
312,MTD
313,MGM
314,MCHP
315,MU
316,MSFT
317,MAA
318,MRNA
319,MHK
320,MOH
321,TAP
322,MDLZ
323,MPWR
324,MNST
325,MCO
326,MS
327,MOS
328,MSI
329,MSCI
330,NDAQ
331,NTAP
332,NFLX
333,NWL
334,NEM
335,NWSA
336,NWS
337,NEE
338,NLSN
339,NKE
340,NI
341,NDSN
342,NSC
343,NTRS
344,NOC
345,NLOK
346,NCLH
347,NRG
348,NUE
349,NVDA
350,NVR
351,NXPI
352,ORLY
353,OXY
354,ODFL
355,OMC
356,ON
357,OKE
358,ORCL
359,OGN
360,OTIS
361,PCAR
362,PKG
363,PARA
364,PH
365,PAYX
366,PAYC
367,PYPL
368,PNR
369,PEP
370,PKI
371,PFE
372,PM
373,PSX
374,PNW
375,PXD
376,PNC
377,POOL
378,PPG
379,PPL
380,PFG
381,PG
382,PGR
383,PLD
384,PRU
385,PEG
386,PTC
387,PSA
388,PHM
389,QRVO
390,PWR
391,QCOM
392,DGX
393,RL
394,RJF
395,RTX
396,O
397,REG
398,REGN
399,RF
400,RSG
401,RMD
402,RHI
403,ROK
404,ROL
405,ROP
406,ROST
407,RCL
408,SPGI
409,CRM
410,SBAC
411,SLB
412,STX
413,SEE
414,SRE
415,NOW
416,SHW
417,SBNY
418,SPG
419,SWKS
420,SJM
421,SNA
422,SEDG
423,SO
424,LUV
425,SWK
426,SBUX
427,STT
428,STE
429,SYK
430,SIVB
431,SYF
432,SNPS
433,SYY
434,TMUS
435,TROW
436,TTWO
437,TPR
438,TGT
439,TEL
440,TDY
441,TFX
442,TER
443,TSLA
444,TXN
445,TXT
446,TMO
447,TJX
448,TSCO
449,TT
450,TDG
451,TRV
452,TRMB
453,TFC
454,TWTR
455,TYL
456,TSN
457,USB
458,UDR
459,ULTA
460,UNP
461,UAL
462,UPS
463,URI
464,UNH
465,UHS
466,VLO
467,VTR
468,VRSN
469,VRSK
470,VZ
471,VRTX
472,VFC
473,VTRS
474,VICI
475,V
476,VNO
477,VMC
478,WAB
479,WBA
480,WMT
481,WBD
482,WM
483,WAT
484,WEC
485,WFC
486,WELL
487,WST
488,WDC
489,WRK
490,WY
491,WHR
492,WMB
493,WTW
494,GWW
495,WYNN
496,XEL
497,XYL
498,YUM
499,ZBRA
500,ZBH
501,ZION
502,ZTS
